ability|cognition,knowledge,power,quality|inability
clot|alter,ball,change,chunk,clod,clog,clump,coagulate,coalesce,curdle,glob,lump,modify,turn|homogenize
code|cipher,codification,encipher,encode,inscribe,label,mark,write|decode
cognizable|knowable|unknowable
cognizant|alert,alive,awake,aware,conscious,sensible,sensitive|unaware
coherence|coherency,cohesion,cohesiveness,connection,link|incoherence
coherency|coherence,cohesion,cohesiveness,connection,link|incoherence
coherent|adhesive,consistent,logical,lucid,ordered,orderly,rational,seamless,tenacious|incoherent
cohesion|coherence,coherency,cohesiveness,connection,development,force,growth,link,maturation,ontogeny|incoherence
cohesiveness|coherence,coherency,cohesion,connection,link,tackiness,viscosity|incoherence
coil|construction,curl,curlicue,forge,form,gyrate,helix,loop,mold,preventative,preventive,reactor,ringlet,roll,scroll,shape,spiral,structure,transformer,tube,tubing,turn,twine,volute,whorl,wind,work,wrap|uncoil
cold|arctic,bleak,coldness,cool,crisp,cutting,dead,frigid,frigidity,frigidness,frosty,frozen,gelid,glacial,ice-cold,inhuman,inhumane,insensate,intense,nippy,passionless,perfect,polar,refrigerant,shivery,snappy,stale,stone-cold,temperature,unconscious,unheated,unloving,wintry|hotness
coldness|chilliness,cold,coolness,frigidity,frigidness,iciness,temperature|hotness
collected|composed,concentrated,congregate,gathered,poised|uncollected
colonize|annex,locate,settle|decolonize
colorful|ablaze,black,brave,bright,brilliant,calico,changeable,chromatic,colored,crimson,deep,flamboyant,flaming,flashy,fluorescent,flushed,gaudy,ginger,gingery,indigo,iridescent,jazzy,liver,loud,many-sided,monochrome,motley,multicolored,noisy,picturesque,piebald,pied,prismatic,psychedelic,rich,roan,rose-colored,shot,showy,shrill,sporty,tricolor,unrestrained,varicolored,vibrant,vivid|colorless
colorless|achromatic,ashen,bloodless,drab,dull,livid,lurid,neutral,pale,pallid,pasty,sober,somber,washed-out,washy,waxen,waxy,white|colorful
commencement|beginning,exercise,first,graduation,kickoff,offset,outset,point,start|middle
committed|bespoken,betrothed,engaged,intended,involved,loving,sworn|uncommitted
commodious|convenient,roomy,spacious|incommodious
common|average,coarse,commons,communal,democratic,demotic,familiar,frequent,general,green,inferior,informal,joint,lowborn,mutual,ordinary,parcel,park,plebeian,popular,public,standard,tract,uncouth,unrefined,unwashed,usual,vernacular,vulgar|uncommon,individual
commonly|normally,ordinarily,usually|remarkably
commonness|coarseness,generality,grossness,inelegance,normalcy,normality,ordinariness,vulgarism,vulgarity|uncommonness
compact|arrange,auto,automobile,bundle,case,clayey,compendious,compress,concentrated,concise,concordat,constrict,contract,covenant,dense,force,heavy,heavyset,impacted,machine,motorcar,pack,packed,press,serried,squeeze,stocky,succinct,summary,thick,thickset,tight,tighten,wedge|loose,decompress
compactness|denseness,density,solidity,solidness,spacing,tightness|distribution
comparable|equal,like,parallel,same|incomparable
compatible|congenial,congruous,harmonious,miscible,mixable,sympathetic|incompatible
compensate|alter,balance,change,compensate,correct,cover,indemnify,modify,recompense,redress,remunerate,repair,right,settle|wrong
competence|ability,competency|incompetence
competency|ability,competence|incompetence
competent|able,adequate,capable,effective,efficient,qualified,skilled,workmanlike|incompetent
competition|challenger,competitor,contender,contention,contest,contestant,rival,rivalry|cooperation
complain|charge,kick,kvetch,plain|cheer
complainant|litigant,litigator,plaintiff|defendant
complete|absolute,accomplish,accomplished,action,all-out,allover,arrant,clean,consummate,dead,discharge,dispatch,downright,everlasting,execute,exhaustive,fill,finish,finished,fulfil,fulfill,full,full-blown,full-scale,good,gross,hearty,nail,out-and-out,over,perfect,play,pure,rank,sheer,skilled,sound,stark,terminate,thorough,total,unmitigated,utter,whole|incomplete
completely|altogether,entirely,totally,whole,wholly|partly
compress|compact,constrict,contract,dressing,force,press,squeeze,tighten,wedge|decompress
concave|biconcave,depressed,intrusive|convex
conceal|hide|show
concentrate|abbreviate,abridge,alter,center,centralize,cerebrate,change,cogitate,condense,contract,converge,decrease,digest,diminish,epitome,fall,focus,foodstuff,foreshorten,image,lessen,modify,paradigm,pore,prototype,reduce,rivet,shorten,think,turn|decentralize
concentrated|bunchy,centered,collected,compact,congregate,dense,exclusive,gathered,hard,intense,piled,saturated,single,thick,thickset,undiluted,undivided|soft,unsaturated
concentric|coaxial|eccentric
concern|anxiety,business,care,enterprise,fear,headache,interest,involvement,occupy,pertain,refer,relate,sympathy,touch,vexation,worry|unconcern
concerned|afraid,attentive,haunted,interested,involved,obsessed,preoccupied,related,solicitous,troubled|unconcerned
conciliatory|compromising,flexible,placatory,propitiatory,soft,yielding|antagonistic
concise|aphoristic,brief,compact,compendious,crisp,cryptic,curt,elliptic,elliptical,epigrammatic,laconic,pithy,sententious,succinct,summary,taciturn,telegraphic,terse|prolix
conclusion|assumption,choice,close,closing,decision,ending,finale,finis,finish,happening,judgement,judgment,last,mind,occurrence,option,pick,proposition,section,selection,settlement,subdivision,supposition,termination|beginning
conclusive|absolute,decisive,definitive,determinate,unambiguous,unequivocal|inconclusive
concord|accord,agree,agreement,arrange,check,concordance,concur,consort,correspond,gibe,harmonize,harmony,hold,jibe,match,order,tally,town|disagree
concrete|cover,existent,factual,objective,practical,real,solid,solidify,tangible,touchable|abstract
concreteness|corporeality|abstractness
concur|agree,coincide,concord,happen,hold,occur,pass|disagree
condemnation|condition,conviction,curse,denouncement,denunciation,disapproval,execration,sentence,status|acquittal,approbation
conductor|accumulator,collector,device,director,gatherer,material,musician,stuff|insulator
confidence|assurance,authority,certainty,friendship,hopefulness,secret,security,sureness,trust|diffidence
confine|bear,bound,carry,check,circumscribe,contain,control,curb,decrease,detain,disable,enclose,hold,incapacitate,keep,lessen,limit,moderate,restrain,restrict,suppress,throttle,trammel|free
confined|captive,close,enclosed,housebound,pent,restrained,restricted,shut-in,snowbound|unconfined,invasive
confirm|affirm,approve,corroborate,covenant,fortify,okay,reassert,sanction,strengthen,substantiate,support,sustain|negate
confirmed|addicted,habitual,inveterate,official,unchangeable|unconfirmed
conform|adapt,adjust,change|deviate
congruence|congruity,harmony|incongruity
congruity|congruence,harmony|incongruity
connotative|implicit,inferential,suggestive|denotative
conscious|alert,awake,aware,cognizant,intended,self-aware,sensible,sensitive,sentient,voluntary,witting|unconscious
conscript|draftee,enlist,inductee,serviceman|volunteer
consecrate|apply,bless,commit,consecrate,declare,dedicate,dedicated,devote,employ,enthrone,give,hallow,holy,invest,ordain,order,ordinate,sacred,sanctify,utilize,vest,votive|desecrate
constructive|creative,formative,inferential,plastic,positive,structural|destructive
consume|absorb,deplete,destroy,devour,down,drop,engage,engross,exhaust,expend,have,ingest,occupy,ruin,spend,squander,take,ware,waste|abstain
consumptive|exploitative,sick,sufferer,tubercular|generative
contemptible|abject,ignoble,low-down,mean,miserable,pathetic,pitiable,pitiful,scummy,scurvy,unworthy|estimable
content|acceptance,accumulation,aggregation,assemblage,calm,capacity,circumscribe,cognition,collection,complacent,confine,contented,easygoing,gratify,happy,knowledge,limit,message,placid,pleased,proportion,satisfied,satisfy,smug,subject,substance,thing,volume|discontented,discontent
contract|abbreviate,abridge,alter,assure,bidding,bridge,change,compact,compress,concentrate,condense,constrict,declaration,decrease,diminish,employ,engage,fall,foreshorten,hire,lessen,modify,narrow,press,promise,reduce,shorten,shrink,sicken,sign,squeeze,take,tighten,undertake|expand,stretch
converge|approach,assemble,forgather,gather,meet,merge,unify,unite|diverge
convergence|connection,happening,intersection,occurrence,overlap,series|divergence
convinced|certain,confident,positive,sure|unconvinced
convincing|credible,persuasive|unconvincing
cool|air-cooled,alter,aplomb,caller,calm,calmness,change,chill,chilly,cold,coldness,composed,composure,equanimity,fashionable,frigidity,frigidness,modify,nerveless,poise,stylish,turn,unemotional,unfriendly,unqualified,unresponsive|warm,heat
cooperation|pattern,practice|competition
correct|accurate,adjust,alter,balance,berate,castigate,change,chasten,chastise,chide,compensate,decline,descend,discipline,exact,fall,lambast,lambaste,lecture,modify,objurgate,penalize,precise,proper,punish,rebuke,rectify,redress,remonstrate,reprimand,reproof,reverse,right,right-minded,scold,slump,straight,treat,trounce,true,turn|wrong,incorrect
correctly|aright,right|wrongly,incorrectly
correctness|propriety,quality,rightness|wrongness
countenance|accept,allow,appearance,approval,commendation,consent,endorsement,face,imprimatur,kisser,permit,physiognomy,sanction,visage,warrant|disallow,forbid
courteously|politely|impolitely
critical|acute,blistering,captious,censorious,crucial,dangerous,decisive,desperate,dire,discerning,faultfinding,grave,grievous,important,judicial,nitpicking,overcritical,sarcastic,scalding,scathing,scholarly,serious,severe,unfavorable,vital,vituperative|noncritical,uncritical
criticize|comment,knock,notice,remark|praise
crooked|akimbo,aquiline,askew,asymmetrical,awry,bent,cockeyed,corrupt,deflective,dishonest,dishonorable,distorted,gnarled,hooked,hunched,indirect,irregular,knotty,lopsided,refractive,sneaky,squiggly,tortuous,twisted,twisty,underhand,underhanded,unlawful,voluminous,warped,windblown,winding,zigzag|straight
crookedness|conformation,contortion,contour,deviousness,dishonesty,distortion,form,shape,torsion,tortuousness|straightness
cross|affliction,bad-tempered,baffle,being,bilk,breed,conjugation,construction,continue,coupling,cover,crabbed,crabby,crisscross,cross,crossbreed,crossing,crosswise,emblem,encounter,extend,foil,fold,forbid,foreclose,forestall,frustrate,fussy,grouchy,grumpy,hybrid,hybridize,ill-natured,ill-tempered,interbreed,intersect,mark,marking,mating,meet,organism,pass,preclude,prevent,queer,scotch,span,spoil,structure,sweep,thwart,track,transverse,traverse,union,write|uncross
crossbred|cross,crossbreed,half-breed,hybrid,interbred|purebred
crosswise|across,cross,crossways,horizontal,transverse|lengthwise
crowded|jam-packed,jammed,packed|uncrowded
crowned|royal|uncrowned
crude|blunt,coarse,early,earthy,gross,indecent,petroleum,primitive,rough,rude,stark,unprocessed,unrefined,unskilled,vulgar|refined
cubic|boxlike,boxy,cubical,isometric,solid|linear
curdle|clot,coagulate,spoil,turn|homogenize
curly|crisp,curling,frizzly,frizzy,kinky,wavy|straight
curse|abuse,affliction,arouse,bane,blackguard,blaspheme,charm,condemnation,conjure,cuss,denouncement,denunciation,evoke,exclude,execration,expletive,express,imprecate,invoke,jinx,nemesis,oath,profanity,raise,scourge,shout,shut,spell,stir,swear,swearword,torment,utter,verbalize,whammy|bless,communicate
cursed|accursed,blame,blasted,blessed,damnable,damned,darned,doomed,execrable,infernal,lost,unsaved|blessed
curved|arched,curvy,semicircular,serpentine,sinuous,snakelike,snaky,wiggly|straight
custom|bespoke,bespoken,custom-built,custom-made,customs,duty,impost,patronage,pattern,practice,survival,tailor-made,tailored,tariff,trade,tradition,usage|ready-made
custom-built|custom,custom-made,item|ready-made
custom-made|bespoke,bespoken,custom,custom-built,item,tailor-made,tailored|ready-made
cyclone|atmosphere,windstorm|anticyclone
damn|all-fired,arouse,blame,blasted,blessed,bloody,conjure,curse,cursed,damned,darned,evoke,imprecate,infernal,invoke,raise,stir|bless
dampen|blunt,break,check,conquer,curb,damp,dampen,deaden,delay,dull,inhibit,moisten,muffle,mute,retard,soften,stifle,subdue,suppress,wash,weaken|stimulate
danger|area,cause,condition,country,peril,risk,status,venture|safety
dangerous|breakneck,chancy,critical,desperate,dicey,grave,grievous,harmful,hazardous,insecure,insidious,parlous,perilous,precarious,risky,serious,severe,suicidal,touch-and-go,treacherous,unreliable,unsafe,vulnerable,wild|safe
daring|adventurous,audacious,avant-garde,boldness,challenge,dare,fearlessness,hardihood,hardiness,original,venturesome,venturous|timidity
dark|benighted,black,blue,brunet,brunette,cheerless,colored,condition,darkness,depressing,dingy,disconsolate,dismal,dour,drab,drear,dreary,dusky,evil,gloomy,glowering,glum,grim,ill-natured,illumination,inactive,iniquity,moody,morose,night,nighttime,obscure,period,pitch-black,pitch-dark,saturnine,scene,shadow,sinister,sorry,sour,status,subdued,sulky,sullen,twilight,twilit,unlighted,unlit,wickedness|light
darken|alter,change,defile,modify,stain,sully,tarnish|brighten
daytime|daylight,period|night
deactivate|alter,change,discharge,inactivate,modify|activate
deactivation|conclusion,discharge,dismissal,ending,inactivation,liberation,release,sack,sacking,termination|activation
dead|abruptly,absolute,absolutely,asleep,barren,beat,bloodless,breathless,bushed,cold,complete,deathlike,deathly,deceased,defunct,departed,doomed,drained,extinct,fallen,gone,idle,inactive,inanimate,inelastic,inoperative,insensitive,late,lifeless,nonliving,nonviable,numb,people,perfectly,precise,short,slain,stagnant,standing,stillborn,suddenly,time,tired,uncharged,unprofitable,utter,utterly|animate,alive,living,live
deaden|alter,blunt,break,change,convert,damp,dampen,girdle,incise,modify,retard,soften,weaken|enliven
deaf|deaf-mute,deafen,desensitize,heedless,indifferent,people,stone-deaf,thoughtless,tone-deaf|hearing
death|alteration,change,decease,demise,destruction,dying,ending,kill,killing,last,modification,state|birth
debark|disembark,land|embark
debarkation|landing|embarkation
debilitating|exhausting|invigorating
debit|account,calculate,entry|credit
debtor|individual,mortal,person,somebody,someone,soul|creditor
decease|alteration,change,choke,conk,croak,death,exit,expire,modification,pass,perish,turn|birth
deceitfully|dishonestly,venally|honestly
deceive|betray,cozen,delude,misinform,mislead,victimize|undeceive
decelerate|decrease,diminish,fall,lessen,modify,qualify,retard,slow|accelerate
deceleration|alteration,change,modification,rate,retardation,speed,speeding|acceleration
decency|propriety,reputability|indecency
decent|adequate,becoming,clean,comely,decently,decorous,enough,modest,nice,proper,properly,respectable,right,seemly,sufficient|indecent,improperly
decently|decent,properly,right|indecently,improperly
decentralize|alter,change,modify|concentrate,centralize
